sloneczna	ciepla	duza	slaby	zostan
sloneczna	ciepla	duza	silny	zostan
pochmurna	ciepla	duza	slaby	jedz
deszczowa	umiarkowana	duza	slaby	jedz
deszczowa	zimna	normalna	slaby	jedz
deszczowa	zimna	normalna	silny	zostan
pochmurna	zimna	normalna	silny	jedz
sloneczna	umiarkowana	duza	slaby	zostan
sloneczna	zimna	normalna	slaby	jedz
deszczowa	umiarkowana	normalna	slaby	jedz
sloneczna	umiarkowana	normalna	silny	jedz
pochmurna	umiarkowana	duza	silny	jedz
pochmurna	ciepla	normalna	slaby	jedz
deszczowa	umiarkowana	duza	silny	zostan
